100
0,00398033695370566
8,19138352697957E-12
0,117857033354825
0,170709228443335
-0,309819232907475
-0,00560358829876225
-0,0134766801086608
-0,71028562000034
0,721515499181693
-0,0892144817511231
0,565664354673509
0,00219059721958797
0,819776204841133
-0,722979274746002
-0,00928702788945592
-0,414376586633067
0,835455615076387
-0,810369367078095
0,0252263523392821
-0,764056996922077
-0,591698524219635
-0,223468373395337
0,0707236256015468
-0,0114300277824925
0,676000339626638
-0,739912055387895
-6,5812119275452E-08
0,114956290078262
-0,557277558949629
0,837167729585964
-0,816961994238809
0,0562671469276726
-0,492882322018984
3,75957476815246E-08
0,00500879486835626
0,0388500778875306
0,0451000580207942
0,461558592745374
-0,00854385576788163
-0,181677554097636
0,824537755868486
0,386487987604503
-0,51742716454129
-2,43463319738925E-06
-0,156246086922058
-0,655931594786025
-0,000422030402234175
-0,110697708434636
1,73868725621769E-09
-0,0245235519275999
-0,740591822360186
0,00524349497218041
0,0306019175018726
0,00344593141900092
0,822646040855452
-0,0520685407412612
-0,47073207733327
0,00680121294571396
0,0549823483902908
0,00688763387877387
-3,23472744770543E-08
-0,608127326098427
-0,327815159709582
0,739230199214177
0,840447824429083
0,00038957518202631
-0,0385421130940905
0,835615475849892
0,84005880738902
0,438962687219934
0,0240216434173571
1,17614515140307E-08
0,724163847721711
0,026309166463385
0,100203539282025
-0,23184817735996
-0,839926541522248
1,08880292597783E-07
0,0083402787429085
-0,35247528001455
0,301976486667012
-0,774727566258371
-0,486759571903483
-0,478632913284575
-0,0390143948164435
0,81895185116136
-0,0193483041229428
-0,604133976012068
-0,824273471091902
-0,0208367302490688
0,000114750736694068
0,711808316306411
0,632520415802309
0,818573783226525
0,522899147583118
-0,416499123582089
0,376881048136253
-0,356701976780473
0,699412759744264
-0,000716189604561193
